"unmatched_programs","program","specialty"
"UPMC Medical Education (Susquehanna Health System)_Family Medicine","UPMC Medical Education (Susquehanna Health System)","Family Medicine"
"UPMC Medical Education/Susquehanna Health System_Family Medicine","UPMC Medical Education/Susquehanna Health System","Family Medicine"
"UPMC Pinnacle Hospitals_Family Medicine","UPMC Pinnacle Hospitals","Family Medicine"
"UPMC Pinnacle Lititz_Family Medicine","UPMC Pinnacle Lititz","Family Medicine"
"University Hospitals Community Consortium (Richmond Heights)_Family Medicine","University Hospitals Community Consortium (Richmond Heights)","Family Medicine"
"University Hospitals Osteopathic Consortium (Richmond Heights)_Family Medicine","University Hospitals Osteopathic Consortium (Richmond Heights)","Family Medicine"
"University Hospitals Osteopathic Consortium (UHOC/Richmond Heights)_Family Medicine","University Hospitals Osteopathic Consortium (UHOC/Richmond Heights)","Family Medicine"
"University Hospitals Osteopathic Consortium (UHOC/Westlake)_Family Medicine","University Hospitals Osteopathic Consortium (UHOC/Westlake)","Family Medicine"
"University Hospitals Osteopathic Consortium (Westlake)_Family Medicine","University Hospitals Osteopathic Consortium (Westlake)","Family Medicine"
"University Hospitals and Clinics/Louisiana State University (Lafayette)_Family Medicine","University Hospitals and Clinics/Louisiana State University (Lafayette)","Family Medicine"
"University at Buffalo School of Medicine_Family Medicine","University at Buffalo School of Medicine","Family Medicine"
"University of Alabama Medical Center (Selma)_Family Medicine","University of Alabama Medical Center (Selma)","Family Medicine"
"University of Arizona College of Medicine_Family Medicine","University of Arizona College of Medicine","Family Medicine"
"University of Arizona College of Medicine at South Campus_Family Medicine","University of Arizona College of Medicine at South Campus","Family Medicine"
"University of Arizona College of Medicine- Phoenix_Family Medicine","University of Arizona College of Medicine- Phoenix","Family Medicine"
"University of Arizona College of Medicine- Tucson_Family Medicine","University of Arizona College of Medicine- Tucson","Family Medicine"
"University of Arizona College of Medicine-Phoenix-Preliminary_Family Medicine","University of Arizona College of Medicine-Phoenix-Preliminary","Family Medicine"
"University of Arizona College of Medicine-Tucson (South Campus)_Family Medicine","University of Arizona College of Medicine-Tucson (South Campus)","Family Medicine"
"University of Arkansas College of Medicine_Family Medicine","University of Arkansas College of Medicine","Family Medicine"
"University of Arkansas for Medical Sciences_Family Medicine","University of Arkansas for Medical Sciences","Family Medicine"
"University of Arkansas for Medical Sciences Regional Centers (Magnolia) Rural_Family Medicine","University of Arkansas for Medical Sciences Regional Centers (Magnolia) Rural","Family Medicine"
"University of Arkansas for Medical Sciences Regional Centers (Southwest)_Family Medicine","University of Arkansas for Medical Sciences Regional Centers (Southwest)","Family Medicine"
"University of California (Davis) Health_Family Medicine","University of California (Davis) Health","Family Medicine"
"University of California (San Diego)_Family Medicine","University of California (San Diego)","Family Medicine"
"University of California (San Francisco) School of Medicine_Family Medicine","University of California (San Francisco) School of Medicine","Family Medicine"
"University of California (San Francisco)/San Francisco General Hospital_Family Medicine","University of California (San Francisco)/San Francisco General Hospital","Family Medicine"
"University of California Riverside School of Medicine_Family Medicine","University of California Riverside School of Medicine","Family Medicine"
"University of California Riverside School of Medicine Program/Desert Regional Medical Center_Family Medicine","University of California Riverside School of Medicine Program/Desert Regional Medical Center","Family Medicine"
"University of California Riverside School of Medicine/Desert Regional Medical Center_Family Medicine","University of California Riverside School of Medicine/Desert Regional Medical Center","Family Medicine"
"University of California Riverside School of Medicine/St. Bernardine Medical Center_Family Medicine","University of California Riverside School of Medicine/St. Bernardine Medical Center","Family Medicine"
"University of California Riverside School of Medicine/St. Bernardine Medical Center-Dignity Health_Family Medicine","University of California Riverside School of Medicine/St. Bernardine Medical Center-Dignity Health","Family Medicine"
"University of Central Florida/HCA GME Consortium (Gainesville)_Family Medicine","University of Central Florida/HCA GME Consortium (Gainesville)","Family Medicine"
"University of Central Florida/HCA GME Consortium (Ocala)_Family Medicine","University of Central Florida/HCA GME Consortium (Ocala)","Family Medicine"
"University of Central Florida/HCA Healthcare GME (Gainesville)_Family Medicine","University of Central Florida/HCA Healthcare GME (Gainesville)","Family Medicine"
"University of Central Florida/HCA Healthcare GME (Ocala)_Family Medicine","University of Central Florida/HCA Healthcare GME (Ocala)","Family Medicine"
"University of Colorado_Family Medicine","University of Colorado","Family Medicine"
"University of Colorado (HealthONE Rose Medical Center)_Family Medicine","University of Colorado (HealthONE Rose Medical Center)","Family Medicine"
"University of Colorado School of Medicine_Family Medicine","University of Colorado School of Medicine","Family Medicine"
"University of Florida (Gainesville)_Family Medicine","University of Florida (Gainesville)","Family Medicine"
"University of Illinois College of Medicine at Rockford-Rural_Family Medicine","University of Illinois College of Medicine at Rockford-Rural","Family Medicine"
"University of Illinois College of Medicine at Rockford/Monroe Clinic-Rural_Family Medicine","University of Illinois College of Medicine at Rockford/Monroe Clinic-Rural","Family Medicine"
"University of Maryland Capital Region Health_Family Medicine","University of Maryland Capital Region Health","Family Medicine"
"University of Maryland Medical Center Midtown Campus_Family Medicine","University of Maryland Medical Center Midtown Campus","Family Medicine"
"University of Maryland at Mercy Medical Center-Preliminary_Family Medicine","University of Maryland at Mercy Medical Center-Preliminary","Family Medicine"
"University of Massachusetts_Family Medicine","University of Massachusetts","Family Medicine"
"University of Massachusetts (Fitchburg)_Family Medicine","University of Massachusetts (Fitchburg)","Family Medicine"
"University of Massachusetts Medical School_Family Medicine","University of Massachusetts Medical School","Family Medicine"
"University of Michigan Health System_Family Medicine","University of Michigan Health System","Family Medicine"
"University of Minnesota/St Cloud Hospital_Family Medicine","University of Minnesota/St Cloud Hospital","Family Medicine"
"University of Minnesota/St Joseph's Hospital_Family Medicine","University of Minnesota/St Joseph's Hospital","Family Medicine"
"University of Minnesota/University of Minnesota Medical Center (Fairview)_Family Medicine","University of Minnesota/University of Minnesota Medical Center (Fairview)","Family Medicine"
"University of Mississippi School of Medicine_Family Medicine","University of Mississippi School of Medicine","Family Medicine"
"University of Missouri at Kansas City_Family Medicine","University of Missouri at Kansas City","Family Medicine"
"University of Nebraska Medical Center_Family Medicine","University of Nebraska Medical Center","Family Medicine"
"University of Nevada Las Vegas (UNLV) School of Medicine_Family Medicine","University of Nevada Las Vegas (UNLV) School of Medicine","Family Medicine"
"University of Nevada Las Vegas (UNLV) School of Medicine Rural_Family Medicine","University of Nevada Las Vegas (UNLV) School of Medicine Rural","Family Medicine"
"University of Nevada Reno School of Medicine Rural_Family Medicine","University of Nevada Reno School of Medicine Rural","Family Medicine"
"University of New Mexico_Family Medicine","University of New Mexico","Family Medicine"
"University of North Dakota School of Medicine and Health Sciences_Family Medicine","University of North Dakota School of Medicine and Health Sciences","Family Medicine"
"University of North Dakota School of Medicine and Health Sciences Rural_Family Medicine","University of North Dakota School of Medicine and Health Sciences Rural","Family Medicine"
"University of Oklahoma Health Sciences Center (Lawton)_Family Medicine","University of Oklahoma Health Sciences Center (Lawton)","Family Medicine"
"University of Oklahoma School of Community Medicine (Tulsa) Rural_Family Medicine","University of Oklahoma School of Community Medicine (Tulsa) Rural","Family Medicine"
"University of Pennsylvania_Family Medicine","University of Pennsylvania","Family Medicine"
"University of Puerto Rico School of Medicine_Family Medicine","University of Puerto Rico School of Medicine","Family Medicine"
"University of Rochester_Family Medicine","University of Rochester","Family Medicine"
"University of South Alabama_Family Medicine","University of South Alabama","Family Medicine"
"University of Tennessee (Chattanooga)_Family Medicine","University of Tennessee (Chattanooga)","Family Medicine"
"University of Tennessee (Murfreesboro)_Family Medicine","University of Tennessee (Murfreesboro)","Family Medicine"
"University of Tennessee (Saint Francis)_Family Medicine","University of Tennessee (Saint Francis)","Family Medicine"
"University of Tennessee College of Medicine-Chattanooga_Family Medicine","University of Tennessee College of Medicine-Chattanooga","Family Medicine"
"University of Texas Health Science Center School of Medicine at San Antonio_Family Medicine","University of Texas Health Science Center School of Medicine at San Antonio","Family Medicine"
"University of Texas Health Science Center at Houston/MD Anderson Cancer Center_Family Medicine","University of Texas Health Science Center at Houston/MD Anderson Cancer Center","Family Medicine"
"University of Texas Medical Branch Hospitals/Methodist Hospital (Houston)_Family Medicine","University of Texas Medical Branch Hospitals/Methodist Hospital (Houston)","Family Medicine"
"University of Texas RGV (DHR)_Family Medicine","University of Texas RGV (DHR)","Family Medicine"
"University of Texas RGV (Doctor's Hospital of Renaissance)_Family Medicine","University of Texas RGV (Doctor's Hospital of Renaissance)","Family Medicine"
"University of Texas RGV (Knapp)_Family Medicine","University of Texas RGV (Knapp)","Family Medicine"
"University of Texas RGV (McAllen Medical Center)_Family Medicine","University of Texas RGV (McAllen Medical Center)","Family Medicine"
"University of Texas Southwestern Medical School_Family Medicine","University of Texas Southwestern Medical School","Family Medicine"
"University of Utah_Family Medicine","University of Utah","Family Medicine"
"University of Utah Medical Center_Family Medicine","University of Utah Medical Center","Family Medicine"
"University of Vermont Health Network- Champlain Valley Physicians Hospital_Family Medicine","University of Vermont Health Network- Champlain Valley Physicians Hospital","Family Medicine"
"University of Virginia_Family Medicine","University of Virginia","Family Medicine"
"University of Washington School of Medicine_Family Medicine","University of Washington School of Medicine","Family Medicine"
"University of Wisconsin_Family Medicine","University of Wisconsin","Family Medicine"
"University of Wisconsin (Eau Claire)_Family Medicine","University of Wisconsin (Eau Claire)","Family Medicine"
"University of Wisconsin (Wausau)_Family Medicine","University of Wisconsin (Wausau)","Family Medicine"
"University of Wisconsin Hospitals and Clinics_Family Medicine","University of Wisconsin Hospitals and Clinics","Family Medicine"
"University of Wyoming College of Health Sciences_Family Medicine","University of Wyoming College of Health Sciences","Family Medicine"
"Utah HealthCare Institute-St Mark's Family Medicine_Family Medicine","Utah HealthCare Institute-St Mark's Family Medicine","Family Medicine"
"Utah Valley Hospital_Family Medicine","Utah Valley Hospital","Family Medicine"
"Utah Valley Regional Medical Center_Family Medicine","Utah Valley Regional Medical Center","Family Medicine"
"Vidant Medical Center_Family Medicine","Vidant Medical Center","Family Medicine"
